trans_id,promotion_type,promotion_id,promotion_code,promotion_name,campaign_period_start,campaign_period_end,promotion_create_date,promotion_update_date,conditions,condition_headline_level_1,condition_headline_level_2,short_description,condition_no,condition_criteria,tier_spending_condition,condition_building,main_reward_type,main_reward_value,main_reward_usage_condition,included_list_category_code,include_list_category_name,included_list_brand_code,include_list_brand_name,include_list_tenant_id,include_list_tenant_name,excluded_list_category_code,exclude_list_category_name,excluded_list_brand_code,exclude_list_brand_name,exclude_list_tenant_id,exclude_list_tenant_name,category_criteria_created_date,category_criteria_updated_date,terms_and_conditions,artwork/key_visual,customer_artwork,headline_level_1,multiple_promotion_eligibility_(extra_flag)
678f705bc669753d7bf91853_6799ea02896f2591ddf65c98,Bank,678f705bc669753d7bf91853,CMP-25-00078,ONESIAM-KBank ช้อปแล้วแลกรับเครดิตเงินคืนสูงสุด 30%_1Feb25-31Jan26,2025-02-01 00:00:00.000 +0700,2026-01-31 23:59:59.999 +0700,2025-01-21 17:00:59.442 +0700,2025-06-25 20:47:39.235 +0700,"ONESIAM-KBank ช้อปแล้วแลกรับเครดิตเงินคืนสูงสุด 30%
(จำกัดการแลกคะแนน K Point สูงสุด 500,000 คะแนน/ ท่าน/ เดือนรวมทุกศูนย์การค้าฯ) ที่สยามเซ็นเตอร์ สยามดิสคัฟเวอรี่ สยามพารากอน ไอคอนสยาม สยาม พรีเมี่ยม เอาท์เล็ต กรุงเทพ และไอซีเอส",,,,6799ea02896f2591ddf65c98,"ONESIAM-KBank ช้อปแล้วแลกรับเครดิตเงินคืนสูงสุด 30%
(จำกัดการแลกคะแนน K Point สูงสุด 500,000 คะแนน/ ท่าน/ เดือนรวมทุกศูนย์การค้าฯ) ที่สยามเซ็นเตอร์ สยามดิสคัฟเวอรี่ สยามพารากอน ไอคอนสยาม สยาม พรีเมี่ยม เอาท์เล็ต กรุงเทพ และไอซีเอส",10000,"SC,SD,SPD,ICON,ICS,SPO",BANK_PARTNER,0,,,,,,,,,,,,,,,,,,,,TRUE
678f705bc669753d7bf91853_678f70e0c669753d7bf962ec,Bank,678f705bc669753d7bf91853,CMP-25-00078,ONESIAM-KBank ช้อปแล้วแลกรับเครดิตเงินคืนสูงสุด 30%_1Feb25-31Jan26,2025-02-01 00:00:00.000 +0700,2026-01-31 23:59:59.999 +0700,2025-01-21 17:00:59.442 +0700,2025-06-25 20:47:39.235 +0700,"ONESIAM-KBank ช้อปแล้วแลกรับเครดิตเงินคืนสูงสุด 30%
(จำกัดการแลกคะแนน K Point สูงสุด 500,000 คะแนน/ ท่าน/ เดือนรวมทุกศูนย์การค้าฯ) ที่สยามเซ็นเตอร์ สยามดิสคัฟเวอรี่ สยามพารากอน ไอคอนสยาม สยาม พรีเมี่ยม เอาท์เล็ต กรุงเทพ และไอซีเอส",,,,678f70e0c669753d7bf962ec,"ONESIAM-KBank ช้อปแล้วแลกรับเครดิตเงินคืนสูงสุด 30%
(จำกัดการแลกคะแนน K Point สูงสุด 500,000 คะแนน/ ท่าน/ เดือนรวมทุกศูนย์การค้าฯ) ที่สยามเซ็นเตอร์ สยามดิสคัฟเวอรี่ สยามพารากอน ไอคอนสยาม สยาม พรีเมี่ยม เอาท์เล็ต กรุงเทพ และไอซีเอส",5000,,BANK_PARTNER,,,,,,,,,,,,,,,,,,,,,TRUE
678f705bc669753d7bf91853_678f70e0c669753d7bf962ea,Bank,678f705bc669753d7bf91853,CMP-25-00078,ONESIAM-KBank ช้อปแล้วแลกรับเครดิตเงินคืนสูงสุด 30%_1Feb25-31Jan26,2025-02-01 00:00:00.000 +0700,2026-01-31 23:59:59.999 +0700,2025-01-21 17:00:59.442 +0700,2025-06-25 20:47:39.235 +0700,"ONESIAM-KBank ช้อปแล้วแลกรับเครดิตเงินคืนสูงสุด 30%
(จำกัดการแลกคะแนน K Point สูงสุด 500,000 คะแนน/ ท่าน/ เดือนรวมทุกศูนย์การค้าฯ) ที่สยามเซ็นเตอร์ สยามดิสคัฟเวอรี่ สยามพารากอน ไอคอนสยาม สยาม พรีเมี่ยม เอาท์เล็ต กรุงเทพ และไอซีเอส",,,,678f70e0c669753d7bf962ea,"ONESIAM-KBank ช้อปแล้วแลกรับเครดิตเงินคืนสูงสุด 30%
(จำกัดการแลกคะแนน K Point สูงสุด 500,000 คะแนน/ ท่าน/ เดือนรวมทุกศูนย์การค้าฯ) ที่สยามเซ็นเตอร์ สยามดิสคัฟเวอรี่ สยามพารากอน ไอคอนสยาม สยาม พรีเมี่ยม เอาท์เล็ต กรุงเทพ และไอซีเอส",3000,,BANK_PARTNER,,,,,,,,,,,,,,,,,,,,,TRUE
678f705bc669753d7bf91853_6799ea02896f2591ddf65c96,Bank,678f705bc669753d7bf91853,CMP-25-00078,ONESIAM-KBank ช้อปแล้วแลกรับเครดิตเงินคืนสูงสุด 30%_1Feb25-31Jan26,2025-02-01 00:00:00.000 +0700,2026-01-31 23:59:59.999 +0700,2025-01-21 17:00:59.442 +0700,2025-06-25 20:47:39.235 +0700,"ONESIAM-KBank ช้อปแล้วแลกรับเครดิตเงินคืนสูงสุด 30%
(จำกัดการแลกคะแนน K Point สูงสุด 500,000 คะแนน/ ท่าน/ เดือนรวมทุกศูนย์การค้าฯ) ที่สยามเซ็นเตอร์ สยามดิสคัฟเวอรี่ สยามพารากอน ไอคอนสยาม สยาม พรีเมี่ยม เอาท์เล็ต กรุงเทพ และไอซีเอส",,,,6799ea02896f2591ddf65c96,"ONESIAM-KBank ช้อปแล้วแลกรับเครดิตเงินคืนสูงสุด 30%
(จำกัดการแลกคะแนน K Point สูงสุด 500,000 คะแนน/ ท่าน/ เดือนรวมทุกศูนย์การค้าฯ) ที่สยามเซ็นเตอร์ สยามดิสคัฟเวอรี่ สยามพารากอน ไอคอนสยาม สยาม พรีเมี่ยม เอาท์เล็ต กรุงเทพ และไอซีเอส",5000,"SC,SD,SPD,ICON,ICS,SPO",BANK_PARTNER,0,,,,,,,,,,,,,,,,,,,,TRUE
678f705bc669753d7bf91853_678f70e0c669753d7bf962ee,Bank,678f705bc669753d7bf91853,CMP-25-00078,ONESIAM-KBank ช้อปแล้วแลกรับเครดิตเงินคืนสูงสุด 30%_1Feb25-31Jan26,2025-02-01 00:00:00.000 +0700,2026-01-31 23:59:59.999 +0700,2025-01-21 17:00:59.442 +0700,2025-06-25 20:47:39.235 +0700,"ONESIAM-KBank ช้อปแล้วแลกรับเครดิตเงินคืนสูงสุด 30%
(จำกัดการแลกคะแนน K Point สูงสุด 500,000 คะแนน/ ท่าน/ เดือนรวมทุกศูนย์การค้าฯ) ที่สยามเซ็นเตอร์ สยามดิสคัฟเวอรี่ สยามพารากอน ไอคอนสยาม สยาม พรีเมี่ยม เอาท์เล็ต กรุงเทพ และไอซีเอส",,,,678f70e0c669753d7bf962ee,"ONESIAM-KBank ช้อปแล้วแลกรับเครดิตเงินคืนสูงสุด 30%
(จำกัดการแลกคะแนน K Point สูงสุด 500,000 คะแนน/ ท่าน/ เดือนรวมทุกศูนย์การค้าฯ) ที่สยามเซ็นเตอร์ สยามดิสคัฟเวอรี่ สยามพารากอน ไอคอนสยาม สยาม พรีเมี่ยม เอาท์เล็ต กรุงเทพ และไอซีเอส",10000,,BANK_PARTNER,,,,,,,,,,,,,,,,,,,,,TRUE
678f705bc669753d7bf91853_6799ea02896f2591ddf65c94,Bank,678f705bc669753d7bf91853,CMP-25-00078,ONESIAM-KBank ช้อปแล้วแลกรับเครดิตเงินคืนสูงสุด 30%_1Feb25-31Jan26,2025-02-01 00:00:00.000 +0700,2026-01-31 23:59:59.999 +0700,2025-01-21 17:00:59.442 +0700,2025-06-25 20:47:39.235 +0700,"ONESIAM-KBank ช้อปแล้วแลกรับเครดิตเงินคืนสูงสุด 30%
(จำกัดการแลกคะแนน K Point สูงสุด 500,000 คะแนน/ ท่าน/ เดือนรวมทุกศูนย์การค้าฯ) ที่สยามเซ็นเตอร์ สยามดิสคัฟเวอรี่ สยามพารากอน ไอคอนสยาม สยาม พรีเมี่ยม เอาท์เล็ต กรุงเทพ และไอซีเอส",,,,6799ea02896f2591ddf65c94,"ONESIAM-KBank ช้อปแล้วแลกรับเครดิตเงินคืนสูงสุด 30%
(จำกัดการแลกคะแนน K Point สูงสุด 500,000 คะแนน/ ท่าน/ เดือนรวมทุกศูนย์การค้าฯ) ที่สยามเซ็นเตอร์ สยามดิสคัฟเวอรี่ สยามพารากอน ไอคอนสยาม สยาม พรีเมี่ยม เอาท์เล็ต กรุงเทพ และไอซีเอส",3000,"SC,SD,SPD,ICON,ICS,SPO",BANK_PARTNER,0,,,,,,,,,,,,,,,,,,,,TRUE
67864193c669753d7b831703_67864193c669753d7b831705,Mall/VIZ/Platinum,67864193c669753d7b831703,CMP-25-00056,[Tourist] ICONSIAM x Rewarding travel moments in THAILAND with Mastercard 2025,2025-01-21 00:00:00.000 +0700,2026-01-20 23:59:59.999 +0700,2025-01-14 17:50:59.868 +0700,2025-06-24 17:53:40.843 +0700,"1) นักท่องเที่ยวต่างชาติมียอดใช้จ่ายภายในศูนย์ครบ 50,000 บาทขึ้นไป (รวมใบเสร็จได้)
รับทันที: บัตร Siam Gift Card ใบละ 1,000 บาท (สำหรับใช้ขั้นต่ำ ครั้งถัดไป 2,000 บาท) จำนวนสิทธิ์: 500 สิทธิ์
",,,,67864193c669753d7b831705,"1) นักท่องเที่ยวต่างชาติมียอดใช้จ่ายภายในศูนย์ครบ 50,000 บาทขึ้นไป (รวมใบเสร็จได้)
รับทันที: บัตร Siam Gift Card ใบละ 1,000 บาท (สำหรับใช้ขั้นต่ำ ครั้งถัดไป 2,000 บาท) จำนวนสิทธิ์: 500 สิทธิ์
",50000,,PHYSICAL_GIFT_CARD,,,,,,,,,,,,,,,,,,,,,FALSE
67864193c669753d7b831703_678f365c896f2591dd42e822,Mall/VIZ/Platinum,67864193c669753d7b831703,CMP-25-00056,[Tourist] ICONSIAM x Rewarding travel moments in THAILAND with Mastercard 2025,2025-01-21 00:00:00.000 +0700,2026-01-20 23:59:59.999 +0700,2025-01-14 17:50:59.868 +0700,2025-06-24 17:53:40.843 +0700,"(2) ใช้จ่ายผ่านบัตร Mastercard 15,000 บาทขึ้นไป (ภายใน 1 วัน) + แสดง Passport	รับฟรี : GC 1,000 บาท (ไม่กำหนดขั้นต่ำในการใช้จ่ายครั้งถัดไป) 400 รางวัล (2 สิทธิ์/คน /วัน )	",,,,678f365c896f2591dd42e822,"(2) ใช้จ่ายผ่านบัตร Mastercard 15,000 บาทขึ้นไป (ภายใน 1 วัน) + แสดง Passport	รับฟรี : GC 1,000 บาท (ไม่กำหนดขั้นต่ำในการใช้จ่ายครั้งถัดไป) 400 รางวัล (2 สิทธิ์/คน /วัน )	",15000,ICON,PHYSICAL_GIFT_CARD,1000,,,,,,,,,,,,,,,,,,,,TRUE
67864193c669753d7b831703_678f365c896f2591dd42e81f,Mall/VIZ/Platinum,67864193c669753d7b831703,CMP-25-00056,[Tourist] ICONSIAM x Rewarding travel moments in THAILAND with Mastercard 2025,2025-01-21 00:00:00.000 +0700,2026-01-20 23:59:59.999 +0700,2025-01-14 17:50:59.868 +0700,2025-06-24 17:53:40.843 +0700,"(1) ใช้จ่ายผ่านบัตร Mastercard 5,000 บาทขึ้นไป (ภายใน 1 วัน) + แสดง Passport 
รับฟรี : GC 250 บาท (ไม่กำหนดขั้นต่ำในการใช้จ่ายครั้งถัดไป)  (2 สิทธิ์/คน/วัน )			",,,,678f365c896f2591dd42e81f,"(1) ใช้จ่ายผ่านบัตร Mastercard 5,000 บาทขึ้นไป (ภายใน 1 วัน) + แสดง Passport 
รับฟรี : GC 250 บาท (ไม่กำหนดขั้นต่ำในการใช้จ่ายครั้งถัดไป)  (2 สิทธิ์/คน/วัน )			",5000,ICON,PHYSICAL_GIFT_CARD,250,,,,,,,,,,,,,,,,,,,,TRUE
6786410d896f2591ddd643cb_678f6cd1896f2591dd484e5d,Mall/VIZ/Platinum,6786410d896f2591ddd643cb,CMP-25-00055,[Tourist] ONESIAM x Rewarding travel moments in THAILAND with Mastercard 2025,2025-01-21 00:00:00.000 +0700,2026-01-20 23:59:59.999 +0700,2025-01-14 17:48:45.924 +0700,2025-06-24 20:10:26.087 +0700,"ใช้จ่ายผ่านบัตร Mastercard 5,000 บาทขึ้นไป (ภายใน 1 วัน) + แสดง Passport 
รับฟรี : GC 250 บาท (ไม่กำหนดขั้นต่ำในการใช้จ่ายครั้งถัดไป)  (2 สิทธิ์/คน/วัน )			
",,,,678f6cd1896f2591dd484e5d,"ใช้จ่ายผ่านบัตร Mastercard 5,000 บาทขึ้นไป (ภายใน 1 วัน) + แสดง Passport 
รับฟรี : GC 250 บาท (ไม่กำหนดขั้นต่ำในการใช้จ่ายครั้งถัดไป)  (2 สิทธิ์/คน/วัน )			
",5000,"SC,SD,SPD",PHYSICAL_GIFT_CARD,250,,,,,,,,,,,,,,,,,,,,TRUE
